Key,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish
ORACLE_VAR_ANU_BIONICS_1,"The Disciples of Anu bristle at your embrace of bionics.","阿努信徒对你拥抱仿生技术深感愤慨。","Les Disciples d'Anu s'insurgent contre votre recours aux bioniques.","Die Jünger Anus sträuben sich gegen deine Hinwendung zur Bionik.","I Discepoli di Anu si irritano per la tua adozione della bionica.","Uczniowie Anu wzdragają się na twoje sięganie po bionikę.","Ученики Ану возмущены вашим пристрастием к бионике.","Los Discípulos de Anu se indignan por tu apego a la biónica."
ORACLE_VAR_ANU_BIONICS_2,"Anu's contempt for your bionics hardens into fury.","阿努对你仿生之举的鄙夷已化为盛怒。","Le mépris d'Anu pour vos bioniques vire à la fureur.","Anus Verachtung für deine Bionik wird zu blankem Zorn.","Il disprezzo di Anu per la tua bionica si trasforma in furia.","Pogarda Anu dla twojej bioniki przeradza się w furię.","Презрение Ану к вашей бионике перерастает в ярость.","El desdén de Anu por tu biónica se torna en furia."
ORACLE_VAR_ANU_PROMISE_MADE,"You give Anu your word to mend the rift.","你向阿努立誓，要弥合这道裂痕。","Vous donnez votre parole à Anu de réparer la fracture.","Du gibst Anu dein Wort, den Riss zu kitten.","Dai la tua parola ad Anu di sanare la frattura.","Dajesz Anu słowo, że zażegnasz rozłam.","Вы даёте Ану слово залечить разлад.","Das tu palabra a Anu de reparar la brecha."
ORACLE_VAR_ANU_PROMISE_BROKE,"Your promise to Anu lies broken.","你对阿努的承诺已然破碎。","Votre promesse à Anu est rompue.","Dein Versprechen an Anu ist gebrochen.","La tua promessa ad Anu è infranta.","Twoja obietnica dana Anu legła w gruzach.","Ваше обещание, данное Ану, нарушено.","Tu promesa a Anu yace rota."
ORACLE_VAR_NJ_MUTATIONS_1,"New Jericho scorns your dabbling in mutations.","新耶利哥鄙夷你在变异之道上的涉足。","New Jericho méprise vos incursions dans les mutations.","New Jericho verachtet dein Herumexperimentieren mit Mutationen.","New Jericho disprezza le tue incursioni nelle mutazioni.","New Jericho gardzi twoim igraniem z mutacjami.","Новый Иерихон презирает ваши заигрывания с мутациями.","Nueva Jericó desdeña tus coqueteos con las mutaciones."
ORACLE_VAR_NJ_MUTATIONS_2,"New Jericho's scorn for your mutations turns to open anger.","新耶利哥对你变异行径的鄙夷已转为公然的怒火。","Le mépris de New Jericho pour vos mutations vire à la colère ouverte.","New Jerichos Verachtung für deine Mutationen wird zu offenem Zorn.","Il disprezzo di New Jericho per le tue mutazioni si tramuta in aperta ira.","Pogarda New Jericho dla twoich mutacji przeradza się w jawny gniew.","Презрение Нового Иерихона к вашим мутациям перерастает в открытый гнев.","El desdén de Nueva Jericó por tus mutaciones se convierte en ira abierta."
ORACLE_VAR_NJ_PROMISE_MADE,"You give New Jericho your word to change course.","你向新耶利哥承诺，将改弦更张。","Vous donnez votre parole à New Jericho de changer de cap.","Du gibst New Jericho dein Wort, den Kurs zu ändern.","Dai la tua parola a New Jericho di cambiare rotta.","Dajesz New Jericho słowo, że zmienisz kurs.","Вы даёте Новому Иерихону слово изменить курс.","Das tu palabra a Nueva Jericó de cambiar de rumbo."
ORACLE_VAR_NJ_PROMISE_BROKE,"Your promise to New Jericho lies broken.","你对新耶利哥的承诺已然破碎。","Votre promesse à New Jericho est rompue.","Dein Versprechen an New Jericho ist gebrochen.","La tua promessa a New Jericho è infranta.","Twoja obietnica dana New Jericho legła w gruzach.","Ваше обещание, данное Новому Иерихону, нарушено.","Tu promesa a Nueva Jericó yace rota."
ORACLE_VAR_PURE_CAMPAIGN,"The campaign against the Pure grinds on.","针对「纯净者」的战役仍在艰难推进。","La campagne contre les Purs se poursuit sans relâche.","Der Feldzug gegen die Reinen zieht sich weiter hin.","La campagna contro i Puri prosegue senza sosta.","Kampania przeciw Czystym toczy się dalej.","Кампания против Чистых продолжается.","La campaña contra los Puros sigue su curso."
ORACLE_VAR_BIONIC_FORTRESS,"The bionic fortress meets its fate.","那座仿生要塞迎来了它的结局。","La forteresse bionique connaît son sort.","Die bionische Festung ereilt ihr Schicksal.","La fortezza bionica incontra il suo destino.","Bioniczna forteca spotyka swój los.","Бионическая крепость встречает свою судьбу.","La fortaleza biónica encuentra su destino."
ORACLE_VAR_FOOD_POISONING,"Tainted rations sicken the crew once more.","受污染的口粮再度令船员染病。","Des rations avariées rendent l'équipage malade une fois de plus.","Verdorbene Rationen machen die Mannschaft erneut krank.","Razioni contaminate fanno ammalare di nuovo l'equipaggio.","Skażone racje znów przyprawiają załogę o chorobę.","Испорченный паёк снова валит команду с ног.","Las raciones contaminadas vuelven a enfermar a la tripulación."
ORACLE_VAR_SCYLLA,"Another Scylla stalks the earth.","又一头斯库拉在大地上游猎。","Une nouvelle Scylla rôde sur la terre.","Eine weitere Scylla durchstreift das Land.","Un'altra Scylla si aggira per la terra.","Kolejna Scylla przemierza ziemię.","Ещё одна сцилла рыщет по земле.","Otra Escila acecha la tierra."
ORACLE_EnableRolledPerkHighlight,Highlight Rolled Perks,高亮随机天赋,Surligner les perks aléatoires,Zufällige Perks hervorheben,Evidenzia perk casuali,Podświetlaj losowe perki,Подсвечивать случайные перки,Resaltar perks aleatorios
ORACLE_EnableRolledPerkHighlight_DESCRIPTION,"When on, randomly rolled personal perks are tinted in the progression screen so you can spot them at a glance.","开启后，随机获得的个人天赋会在进阶界面中着色显示，让你一眼就能识别。","Si activé, les perks personnels obtenus au hasard sont colorés dans l'écran de progression pour les repérer d'un coup d'œil.","Wenn aktiviert, werden zufällig erhaltene persönliche Perks im Fortschrittsbildschirm eingefärbt, damit du sie auf einen Blick erkennst.","Se attivo, i perk personali ottenuti a caso vengono colorati nella schermata di progressione così da individuarli a colpo d'occhio.","Gdy włączone, losowo zdobyte osobiste perki są podświetlane na ekranie rozwoju, byś dostrzegł je od razu.","Когда включено, случайно полученные личные перки подсвечиваются на экране развития, чтобы их было видно с первого взгляда.","Si está activado, los perks personales obtenidos al azar se colorean en la pantalla de progresión para reconocerlos de un vistazo."
ORACLE_RolledPerkHighlightColor,Highlight Color,高亮颜色,Couleur de surlignage,Hervorhebungsfarbe,Colore evidenziazione,Kolor podświetlenia,Цвет подсветки,Color de resaltado
ORACLE_RolledPerkHighlightColor_DESCRIPTION,"The tint color used to highlight rolled perks. Choose Blue, Green, Gold, Red, Purple or White.","用于高亮随机天赋的着色颜色。可选蓝色、绿色、金色、红色、紫色或白色。","La couleur de teinte utilisée pour surligner les perks aléatoires. Choisissez parmi Bleu, Vert, Or, Rouge, Violet ou Blanc.","Die Tönungsfarbe zum Hervorheben zufälliger Perks. Wähle Blau, Grün, Gold, Rot, Violett oder Weiß.","Il colore di tinta usato per evidenziare i perk casuali. Scegli tra Blu, Verde, Oro, Rosso, Viola o Bianco.","Kolor barwienia używany do podświetlania losowych perków. Wybierz Niebieski, Zielony, Złoty, Czerwony, Fioletowy lub Biały.","Цвет подсветки для случайных перков. Выберите синий, зелёный, золотой, красный, фиолетовый или белый.","El color de tinte para resaltar los perks aleatorios. Elige entre Azul, Verde, Oro, Rojo, Púrpura o Blanco."
ORACLE_EnablePerkWiki,Perk Wiki,天赋百科,Wiki des perks,Perk-Wiki,Wiki dei perk,Wiki perków,Вики перков,Wiki de perks
ORACLE_EnablePerkWiki_DESCRIPTION,"When on, you can open the possible-skills wiki panel to browse every perk a soldier or subclass could gain.","开启后，你可以打开“可能技能”百科面板，浏览某名士兵或子职业可能获得的所有天赋。","Si activé, vous pouvez ouvrir le panneau wiki des compétences possibles pour parcourir tous les perks qu'un soldat ou une sous-classe peut obtenir.","Wenn aktiviert, kannst du das Wiki-Panel der möglichen Fähigkeiten öffnen, um alle Perks zu durchsuchen, die ein Soldat oder eine Unterklasse erhalten kann.","Se attivo, puoi aprire il pannello wiki delle abilità possibili per sfogliare ogni perk che un soldato o una sottoclasse può ottenere.","Gdy włączone, możesz otworzyć panel wiki możliwych umiejętności, by przejrzeć każdy perk, jaki żołnierz lub podklasa może zdobyć.","Когда включено, можно открыть панель вики возможных навыков и просмотреть все перки, которые может получить боец или подкласс.","Si está activado, puedes abrir el panel wiki de habilidades posibles para ver todos los perks que un soldado o subclase puede obtener."
ORACLE_EnableSubclassConfirmDecoration,Subclass Confirm Preview,子职业确认预览,Aperçu de confirmation de sous-classe,Unterklassen-Bestätigungsvorschau,Anteprima conferma sottoclasse,Podgląd potwierdzenia podklasy,Предпросмотр при выборе подкласса,Vista previa de confirmación de subclase
ORACLE_EnableSubclassConfirmDecoration_DESCRIPTION,"When on, picking a subclass asks you to confirm and shows that subclass's perks in the dialog, plus lets you preview the subclasses you weren't offered.","开启后，选择子职业时会要求确认，并在对话框中显示该子职业的天赋，同时可预览你未被提供的子职业。","Si activé, choisir une sous-classe demande une confirmation et affiche les perks de cette sous-classe dans la boîte de dialogue, tout en permettant de prévisualiser les sous-classes qui ne vous ont pas été proposées.","Wenn aktiviert, wird bei der Wahl einer Unterklasse eine Bestätigung verlangt und deren Perks im Dialog angezeigt; außerdem kannst du die dir nicht angebotenen Unterklassen vorab ansehen.","Se attivo, scegliere una sottoclasse chiede conferma e mostra i perk di quella sottoclasse nella finestra, e consente di visualizzare in anteprima le sottoclassi che non ti sono state offerte.","Gdy włączone, wybór podklasy wymaga potwierdzenia i pokazuje perki tej podklasy w oknie, a także pozwala podejrzeć podklasy, których ci nie zaproponowano.","Когда включено, выбор подкласса требует подтверждения и показывает перки этого подкласса в окне, а также позволяет предпросмотреть неполученные подклассы.","Si está activado, elegir una subclase pide confirmación y muestra los perks de esa subclase en el diálogo, además de permitir previsualizar las subclases que no te ofrecieron."
ORACLE_ShowDismantleCompensation,Dismantle Yield,拆解回收,Rendement de démantèlement,Zerlegungsertrag,Resa smantellamento,Zysk z demontażu,Выход при разборе,Rendimiento de desmantelamiento
ORACLE_ShowDismantleCompensation_DESCRIPTION,"When on, an item's hover tooltip shows the resources you recover by scrapping it.","开启后，物品的悬停提示会显示拆解该物品可回收的资源。","Si activé, l'infobulle d'un objet indique les ressources récupérées en le démantelant.","Wenn aktiviert, zeigt der Tooltip eines Gegenstands die Ressourcen an, die du beim Zerlegen zurückerhältst.","Se attivo, il tooltip di un oggetto mostra le risorse che recuperi smantellandolo.","Gdy włączone, dymek przedmiotu pokazuje zasoby odzyskiwane przy jego demontażu.","Когда включено, всплывающая подсказка предмета показывает ресурсы, возвращаемые при его разборе.","Si está activado, la información sobre un objeto muestra los recursos que recuperas al desmantelarlo."
